QuickDAQ Data
0001-01-01 00:00:00
Notes:;;
Sample Rate:;250; Hz;
Measurement Type;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;Time Waveform;
Channel Name;DT9826-8(00).Ain 1;DT9826-8(00).Ain 2;DT9826-8(00).Ain 3;DT9826-8(00).Ain 4;DT9826-8(00).Ain 5;DT9826-8(00).Ain 6;
X Axis Units;Sec;Sec;Sec;Sec;Sec;Sec;
Y Axis Units;V;V;V;Amps;Amps;Amps;
Seconds;Real;Real;Real;Real;Real;Real;
 0,5600000000;152,8809070587;-239,9559020996;85,4883193970;-0,1537799835; 0,2837181091;-2,0658969879;
 0,5640000000;-130,9266090393;-110,2919578552;241,0626411438; 0,4446506500;-1,2159347534;-1,2803077698;
 0,5680000000;-234,2028617859;170,6600189209;63,7943744659;-1,0311603546;-1,2350082397; 0,3933906555;
 0,5720000000;-14,0073299408;215,0533199310;-201,3525962830;-2,4080276489; 0,1239776611; 0,3683567047;
 0,5760000000;224,9655723572;-38,9246940613;-188,3192062378;-2,0098686218; 1,0311603546;-1,1742115021;
 0,5800000000;152,9905796051;-239,8827075958;85,3853225708;-0,4220008850; 0,2217292786;-1,8954277039;
 0,5840000000;-130,8372020721;-110,4156970978;241,0933971405; 0,3778934479;-1,0669231415;-1,0001659393;
 0,5880000000;-234,3001365662;170,4821586609;64,0239715576;-0,9083747864;-1,1992454529; 0,2264976501;
 0,5920000000;-14,1990184784;215,1827812195;-201,3163566589;-2,2304058075; 0,1597404480; 0,0882148743;
 0,5960000000;224,9085903168;-38,7420654297;-188,5123252869;-1,7237663269; 1,1670589447;-1,3482570648;
 0,6000000000;153,0585289001;-239,9628162384;85,2961540222;-0,1990795135; 0,1680850983;-2,1839141846;
 0,6040000000;-130,7311058044;-110,4786396027;241,0902976990; 0,6079673767;-1,1682510376;-1,1086463928;
 0,6080000000;-234,2138290405;170,4967021942;64,0640258789;-0,7677078247;-1,3053417206; 0,3957748413;
 0,6120000000;-14,2879486084;215,1756286621;-201,1482715607;-2,4986267090;-0,0452995300; 0,4136562347;
 0,6160000000;224,8308658600;-38,5611057281;-188,5156631470;-1,9168853760; 1,1754035950;-1,1634826660;
 0,6200000000;153,2151699066;-239,8154735565;85,0894451141;-0,0894069672; 0,2646446228;-2,0956993103;
 0,6240000000;-130,5978298187;-110,6183528900;241,1158084869; 0,6258487701;-1,1527538300;-1,2552738190;
 0,6280000000;-234,3478202820;170,3686714172;64,2507076263;-0,6461143494;-1,1813640594; 0,2467632294;
 0,6320000000;-14,4433975220;215,1870727539;-201,0898590088;-2,2971630096; 0,1215934753; 0,3516674042;
 0,6360000000;224,7962951660;-38,4154319763;-188,5979175568;-1,9550323486; 0,9417533875;-1,1193752289;
 0,6400000000;153,2926559448;-239,7925853729;84,9785804749;-0,1335144043; 0,1013278961;-2,0420551300;
 0,6440000000;-130,4130554199;-110,7635498047;241,1260604858; 0,6806850433;-1,1718273163;-1,3005733490;
 0,6480000000;-234,3778610229;170,2401638031;64,4397735596;-0,6282329559;-1,2719631195;-0,0834465027;
 0,6520000000;-14,7249698639;215,4030799866;-201,0047435761;-2,0873546600; 0,1192092896; 0,0190734863;
 0,6560000000;224,7622013092;-38,2378101349;-188,7559890747;-1,8858909607; 1,1312961578;-1,1897087097;
 0,6600000000;153,4621715546;-239,8304939270;84,8696231842;-0,2181529999; 0,3123283386;-1,9872188568;
 0,6640000000;-130,3265094757;-110,8744144440;241,1203384399; 0,7307529449;-1,0502338409;-1,1777877808;
 0,6680000000;-234,3680858612;170,1645851135;64,5158290863;-0,7605552673;-1,2135505676; 0,3468990326;
 0,6720000000;-14,7423744202;215,4433727264;-200,9539604187;-2,3126602173; 0,0417232513; 0,3349781036;
 0,6760000000;224,6811389923;-38,0773544312;-188,8189315796;-1,7654895782; 0,9131431580;-1,1730194092;
 0,6800000000;153,5704135895;-239,7902011871;84,7132205963;-0,2229213715; 0,0822544098;-1,9264221191;
 0,6840000000;-130,2311420441;-111,1838817596;241,1243915558; 0,4172325134;-1,2004375458;-1,0514259338;
 0,6880000000;-234,4436645508;169,9063777924;64,6789073944;-0,9119510651;-1,2767314911; 0,3039836884;
 0,6920000000;-14,8766040802;215,5272960663;-200,8488178253;-2,1934509277; 0,0762939453; 0,3814697266;
 0,6960000000;224,6520519257;-37,9307270050;-188,9204978943;-1,9931793213; 1,1944770813;-1,0240077972;
 0,7000000000;153,6607742310;-239,7856712341;84,5544338226;-0,1752376556; 0,4160404205;-1,9621849060;
 0,7040000000;-130,0826072693;-111,2966537476;241,1272525787; 0,7426738739;-1,0848045349;-1,2779235840;
 0,7080000000;-234,5435619354;169,8188781738;64,8598670959;-0,5018711090;-1,1765956879; 0,1895427704;
 0,7120000000;-15,1548385620;215,5723571777;-200,7627487183;-2,3770332336; 0,1990795135; 0,2324581146;
 0,7160000000;224,6313095093;-37,7717018127;-189,0518665314;-2,0134449005; 1,0967254639;-1,1944770813;
 0,7200000000;153,8016796112;-239,7668361664;84,4783782959;-0,0667572021; 0,3015995026;-2,0563602448;
 0,7240000000;-130,0647258759;-111,3686561584;241,1675453186; 0,5483627319;-1,1289119720;-1,1849403381;
 0,7280000000;-234,5514297485;169,7652339935;64,9213790894;-0,7998943329;-1,4030933380; 0,2706050873;
 0,7320000000;-15,2370929718;215,6147956848;-200,6778717041;-2,2983551025; 0,0953674316; 0,3290176392;
 0,7360000000;224,5543003082;-37,5363826752;-189,0866756439;-2,0587444305; 1,0752677917;-1,0538101196;
 0,7400000000;154,0026664734;-239,7112846375;84,2914581299;-0,2574920654; 0,4196166992;-1,9812583923;
 0,7440000000;-129,7888755798;-111,6273403168;241,1816120148; 0,7557868958;-1,0502338409;-1,1551380157;
 0,7480000000;-234,6053123474;169,5926189423;65,1483535767;-0,5853176117;-1,2671947479; 0,2551078796;
 0,7520000000;-15,3813362122;215,7447338104;-200,6471157074;-2,0778179169; 0,1370906830; 0,1704692841;
 0,7560000000;224,4532108307;-37,3709201813;-189,2309188843;-1,7380714417; 1,1396408081;-1,2207031250;
 0,7600000000;153,9950370789;-239,6607398987;84,0463638306;-0,2837181091; 0,1907348633;-2,2888183594;
 0,7640000000;-129,7531127930;-111,7343902588;241,1427497864; 0,6461143494;-1,2207031250;-1,4126300812;
 0,7680000000;-234,6909046173;169,4169044495;65,3851032257;-0,6341934204;-1,3065338135; 0,1096725464;
 0,7720000000;-15,6354904175;215,8327102661;-200,4241943359;-2,1648406982; 0,0262260437; 0,1585483551;
 0,7760000000;224,4257926941;-37,2209548950;-189,3079280853;-1,8107891083; 0,9894371033;-1,1324882507;
 0,7800000000;154,2174816132;-239,6225929260;83,9655399323;-0,2348423004; 0,3552436829;-1,9347667694;
 0,7840000000;-129,5182704926;-111,9031906128;241,1537170410; 0,5733966827;-1,0430812836;-1,1885166168;
 0,7880000000;-234,6944808960;169,2612171173;65,4962062836;-0,6127357483;-1,1551380157; 0,1072883606;
 0,7920000000;-15,7699584961;215,8975601196;-200,3595829010;-2,0587444305; 0,0989437103; 0,2706050873;
 0,7960000000;224,3115901947;-36,9400978088;-189,4502639771;-1,6856193542; 0,9167194366;-0,9822845459;
 0,8000000000;154,3226242065;-239,5141124725;83,7018489838;-0,0417232513; 0,2050399780;-1,8346309662;
 0,8040000000;-129,3683052063;-112,0944023132;241,1148548126; 0,5984306335;-1,2695789337;-1,1098384857;
 0,8080000000;-234,6696853638;169,1222190857;65,6735897064;-0,5424022675;-1,4364719391; 0,1323223114;
 0,8120000000;-15,8646106720;215,8553600311;-200,2925872803;-2,0420551300;-0,0011920929; 0,2253055573;
 0,8160000000;224,2450714111;-36,8680953979;-189,5980834961;-1,8942356110; 1,0859966278;-1,0728836060;
 0,8200000000;154,4580459595;-239,5145893097;83,5371017456;-0,3075599670; 0,1800060272;-2,0313262939;
 0,8240000000;-129,1623115540;-112,1304035187;241,1835193634; 0,5137920380;-1,3625621796;-1,1670589447;
 0,8280000000;-234,7640991211;169,0557003021;65,9773349762;-0,5924701691;-1,3470649719; 0,2121925354;
 0,8320000000;-16,2458419800;215,9764766693;-200,0489234924;-2,2625923157; 0,1096725464; 0,2622604370;
 0,8360000000;224,1034507751;-36,6837978363;-189,6905899048;-2,1421909332; 0,9214878082;-1,1265277863;
 0,8400000000;154,6556949615;-239,5668029785;83,3432674408;-0,6127357483; 0,1156330109;-1,9431114197;
 0,8440000000;-128,9904117584;-112,3404502869;241,1000728607; 0,2491474152;-1,1205673218;-1,0645389557;
 0,8480000000;-234,7059249878;168,9579486847;66,0507678986;-0,6163120270;-1,0287761688; 0,2419948578;
 0,8520000000;-16,3524150848;216,1114215851;-199,9783515930;-2,1803379059; 0,1621246338; 0,2157688141;
 0,8560000000;224,0433692932;-36,4928245544;-189,7764205933;-2,0527839661; 1,0132789612;-1,0561943054;
 0,8600000000;154,8445224762;-239,5422458649;83,1420421600;-0,1907348633; 0,3015995026;-1,8620491028;
 0,8640000000;-128,7808418274;-112,5123500824;241,1525249481; 0,6318092346;-1,1074542999;-0,8833408356;
 0,8680000000;-234,8153591156;168,8375473022;66,2052631378;-0,6008148193;-1,2135505676; 0,5424022675;
 0,8720000000;-16,5374279022;216,1552906036;-199,9392509460;-2,1839141846;-0,0941753387; 0,3421306610;
 0,8760000000;223,9997386932;-36,4017486572;-189,8946762085;-1,8906593323; 0,9453296661;-1,1575222015;
 0,8800000000;154,9172401428;-239,4316196442;82,9801559448;-0,1847743988; 0,2646446228;-2,0051002502;
 0,8840000000;-128,6191940308;-112,6880645752;241,1808967590; 0,6258487701;-1,1420249939;-1,2493133545;
 0,8880000000;-234,8902225494;168,6832904816;66,4505958557;-0,6592273712;-1,1909008026; 0,2634525299;
 0,8920000000;-16,8304443359;216,3794040680;-199,8016834259;-2,1481513977; 0,1227855682; 0,3635883331;
 0,8960000000;223,8409519196;-36,1483097076;-190,0224685669;-2,0432472229; 1,0490417480;-1,0645389557;
 0,9000000000;155,0357341766;-239,4647598267;82,8611850739;-0,4637241364; 0,2229213715;-1,8024444580;
 0,9040000000;-128,4556388855;-112,8103733063;241,1644458771; 0,3278255463;-1,2600421906;-0,9596347809;
 0,9080000000;-234,8933219910;168,5640811920;66,6384696960;-0,8177757263;-1,3589859009; 0,4982948303;
 0,9120000000;-17,0173645020;216,3927555084;-199,6319293976;-2,1922588348; 0,0965595245; 0,4291534424;
 0,9160000000;223,8140106201;-35,8705520630;-190,2036666870;-1,7905235291; 1,0538101196;-1,1587142944;
 0,9200000000;155,3616523743;-239,4096851349;82,5860500336;-0,0548362732; 0,4422664642;-2,2232532501;
